[2018-04-03 14:23:17] teste.ERROR: Aviso , erro! [] []
[2018-04-03 14:55:06] error-1522760106.ERROR: Aviso , erro! [] []
[2018-04-03 14:58:07] error-1522760287.ERROR: Aviso , erro! [] []
[2018-04-03 14:58:43] error-1522760323.ERROR: Aviso , erro! [] []
[2018-04-03 15:00:13] error-1522760413.ERROR: Aviso , erro! [] []
[2018-04-03 15:05:48] error-1522760748.ERROR: Aviso , erro! [] []
[2018-04-03 15:08:14] error-1522760894.ERROR: Aviso , erro! [] []
[2018-04-03 15:11:38] error-1522761098.ERROR: Aviso , erro! [] []
[2018-04-03 15:12:19] error-1522761139.ERROR: Aviso , erro! [] []
[2018-04-03 15:12:20] error-1522761140.ERROR: Aviso , erro! [] []
[2018-04-03 15:13:45] error-1522761225.ERROR: Aviso , erro! [] []
[2018-04-03 15:15:13] error-1522761313.ERROR: Aviso , erro! [] []
[2018-04-03 15:15:50] error-1522761350.ERROR: Aviso , erro! [] []
[2018-04-03 15:17:14] error-1522761434.ERROR: Aviso , erro! [] []
[2018-04-03 15:18:07] error-1522761487.ERROR: Aviso , erro! [] []
[2018-04-03 15:18:53] error-1522761533.ERROR: Aviso , erro! [] []
[2018-04-03 15:20:57] error-1522761657.ERROR: Aviso , erro! [] []
[2018-04-03 15:23:21] error-1522761801.ERROR: Aviso , erro! [] []
[2018-04-03 15:24:27] error-1522761867.ERROR: Aviso , erro! [] []
[2018-04-03 15:25:09] error-1522761909.ERROR: Aviso , erro! [] []
[2018-04-03 15:28:31] error-1522762111.ERROR: Aviso , erro! [] []
[2018-04-03 15:29:05] error-1522762145.ERROR: Aviso , erro! [] []
[2018-04-03 15:30:39] error-1522762239.ERROR: Aviso , erro! [] []
[2018-04-03 15:30:41] error-1522762241.ERROR: Aviso , erro! [] []
[2018-04-03 15:32:34] error-1522762354.ERROR: Aviso , erro! [] []
[2018-04-03 15:38:00] error-1522762680.ERROR: Aviso , erro! [] []
[2018-04-03 15:40:28] error-1522762828.ERROR: Aviso , erro! [] []
